,Code,Year,Schizophrenia disorders,Depressive disorders,Anxiety disorders,Bipolar disorders,Eating disorders
0,HIGH_INC,1990,0.32568294,3.4713526,4.729571,0.7320952,0.36385235
1,HIGH_INC,1991,0.32657075,3.4801419,4.724091,0.73162156,0.36911672
2,HIGH_INC,1992,0.327345,3.4917297,4.7198305,0.7312833,0.37388405
3,HIGH_INC,1993,0.32798207,3.505563,4.7165747,0.731041,0.37802675
4,HIGH_INC,1994,0.32849044,3.5212934,4.7144914,0.7308721,0.38116062
5,HIGH_INC,1995,0.32880247,3.5382771,4.713554,0.7307541,0.38302228
6,HIGH_INC,1996,0.32896474,3.5589015,4.7459154,0.7306707,0.38422203
7,HIGH_INC,1997,0.32909375,3.5835426,4.8241196,0.73056686,0.385379
8,HIGH_INC,1998,0.32921398,3.6082015,4.9177723,0.73050016,0.3864955
9,HIGH_INC,1999,0.32936868,3.6294994,4.9966345,0.73052037,0.38789004
10,HIGH_INC,2000,0.32956424,3.6422627,5.029177,0.7306232,0.38938245
11,HIGH_INC,2001,0.33004308,3.6453912,5.0156226,0.7315425,0.39178243
12,HIGH_INC,2002,0.33087316,3.6413786,4.983831,0.7334375,0.39507318
13,HIGH_INC,2003,0.331835,3.6339881,4.9441285,0.7356737,0.39866683
14,HIGH_INC,2004,0.3327,3.6272917,4.906421,0.7376291,0.4020432
15,HIGH_INC,2005,0.3332121,3.6245735,4.880684,0.7385983,0.40471736
16,HIGH_INC,2006,0.3334882,3.626557,4.875587,0.7385838,0.40676862
17,HIGH_INC,2007,0.33373258,3.6304147,4.885886,0.73817044,0.40870345
18,HIGH_INC,2008,0.33391565,3.6354907,4.901238,0.73765916,0.4104951
19,HIGH_INC,2009,0.3340403,3.6406524,4.9126287,0.7372638,0.4120632
20,HIGH_INC,2010,0.3340681,3.6447074,4.9096837,0.7371935,0.4135526
21,HIGH_INC,2011,0.3338349,3.6436322,4.8857584,0.73732656,0.4136251
22,HIGH_INC,2012,0.3332725,3.636529,4.8491583,0.73743266,0.41198844
23,HIGH_INC,2013,0.33253008,3.6269057,4.810606,0.7375556,0.40980616
24,HIGH_INC,2014,0.33173946,3.6191218,4.7802787,0.7376595,0.40826386
25,HIGH_INC,2015,0.3309917,3.6158853,4.767557,0.7377445,0.40845641
26,HIGH_INC,2016,0.32950997,3.6152415,4.7591414,0.7378475,0.41162083
27,HIGH_INC,2017,0.32832518,3.6164496,4.7542152,0.738008,0.41469887
28,HIGH_INC,2018,0.32781148,3.6251435,4.796592,0.7382172,0.41598982
29,HIGH_INC,2019,0.32704684,3.6410694,4.8858933,0.73846537,0.41672078
30,LOW_INC,1990,0.21825957,4.712727,3.59907,0.5392097,0.08310494
31,LOW_INC,1991,0.21814775,4.7121086,3.59816,0.53973037,0.08255414
32,LOW_INC,1992,0.21804713,4.7116213,3.5995598,0.5404555,0.08204881
33,LOW_INC,1993,0.21791697,4.70935,3.5999024,0.54090047,0.081440195
34,LOW_INC,1994,0.21772477,4.7093973,3.5991015,0.54113775,0.080784164
35,LOW_INC,1995,0.21750939,4.712856,3.5986948,0.54149044,0.08020063
36,LOW_INC,1996,0.21719363,4.72198,3.5991526,0.54191315,0.07956912
37,LOW_INC,1997,0.21677841,4.7349505,3.6006596,0.5422181,0.078971945
38,LOW_INC,1998,0.21634533,4.7475004,3.6021466,0.5423698,0.078326434
39,LOW_INC,1999,0.2159824,4.7572093,3.6033738,0.5424613,0.07782335
40,LOW_INC,2000,0.21578544,4.7605186,3.6043997,0.54266167,0.07759326
41,LOW_INC,2001,0.21579714,4.7589655,3.6032338,0.543117,0.077584304
42,LOW_INC,2002,0.21595302,4.756297,3.5991738,0.54372436,0.07764757
